name,value,year,lastValue,rank"
Salah,205,2031,203,1"
Sterling,198,2030,198,2"
Mané,186,2031,173,3"
Hazard,184,2031,182,4"
Robertson,171,2031,169,5"
van Dijk,165,2031,163,6"
Agüero,165,2031,165,7"
Aubameyang,164,2031,164,8"
Kane,156,2031,156,9"
Jiménez,153,2031,153,10"
Pogba,151,31,151,11"
Sigurdsson,146,31,140,12"
Lacazette,146,31,146,13"
Alisson,145,31,143,14"
Fraser,143,31,141,15"
Firmino,141,31,136,16"
Son,139,31,139,17"
Felipe Anderson,135,31,130,18"
Richarlison,134,31,126,19"
Alonso,134,31,134,20"
Sané,132,31,132,21"
Pickford,127,31,118,22"
Wilson,127,31,125,22"
Milivojevic,127,31,127,24"
Ederson,126,31,126,25"
Alexander-Arnold,125,31,123,26"
David Luiz,125,31,124,26"
Vardy,124,31,122,28"
King,123,31,0,29"
Etheridge,123,31,123,30"
Salah,203,2030,198,1"
Sterling,198,2029,177,2"
Hazard,182,2030,172,3"
Mané,173,2030,159,4"
Robertson,169,2030,168,5"
Agüero,165,2030,160,6"
Aubameyang,164,2030,157,7"
van Dijk,163,2030,162,8"
Kane,156,2030,148,9"
Jiménez,153,2030,145,10"
Pogba,151,30,150,11"
Lacazette,146,30,138,12"
Alisson,143,30,143,13"
Fraser,141,30,128,14"
Sigurdsson,140,30,138,15"
Son,139,30,138,16"
Firmino,136,30,123,17"
Alonso,134,30,134,18"
Sané,132,30,131,19"
Felipe Anderson,130,2002,129,20"
Milivojevic,127,2001,117,21"
Richarlison,126,2001,118,22"
Ederson,126,2001,124,22"
Wilson,125,2001,114,24"
David Luiz,124,2001,122,25"
Etheridge,123,2001,116,26"
Alexander-Arnold,123,2001,121,26"
Vardy,122,2001,0,28"
David Silva,119,30,0,29"
Pickford,118,30,0,30"
Salah,198,2029,195,1"
Sterling,177,2029,174,2"
Hazard,172,2029,166,3"
Robertson,168,2029,163,4"
van Dijk,162,2029,154,5"
Agüero,160,2029,158,6"
Mané,159,2029,156,7"
Aubameyang,157,2029,158,8"
Pogba,150,2029,151,9"
Kane,148,2029,141,10"
Jiménez,145,29,133,11"
Alisson,143,29,135,12"
Lacazette,138,29,134,13"
Sigurdsson,138,29,135,13"
Son,138,29,136,13"
Alonso,134,29,134,16"
Sané,131,29,131,17"
Felipe Anderson,129,29,126,18"
Fraser,128,29,126,19"
Ederson,124,29,118,20"
Firmino,123,29,122,21"
David Luiz,122,29,122,22"
Alexander-Arnold,121,29,112,23"
Richarlison,118,29,117,24"
Milivojevic,117,29,115,25"
Azpilicueta,116,29,0,26"
Etheridge,116,29,114,26"
Lloris,115,29,0,28"
Bernardo Silva,115,29,112,28"
Wilson,114,29,114,30"
Salah ,195,2028,192,1"
Sterling ,174,2027,173,2"
Hazard ,166,2028,165,3"
Robertson ,163,2028,150,4"
Agüero ,158,2028,149,5"
Aubameyang ,158,2028,151,5"
Mané ,156,2028,143,7"
van Dijk ,154,2028,134,8"
Pogba ,151,2028,146,9"
Kane ,141,2028,140,10"
Son ,136,2000,134,11"
Sigurdsson ,135,2000,119,12"
Alisson ,135,2000,128,12"
Alonso ,134,2000,125,14"
Lacazette ,134,2000,129,14"
Jiménez ,133,2000,131,16"
Sané ,131,2000,130,17"
Felipe Anderson ,126,2000,124,18"
